Time,January,February ,March,April,May,June,July,August,September,October,November,December
01:00,2.386051825,2.534286158,3.215982894,3.113900583,3.215982894,2.812555365,2.80101736,2.697275976,2.611658553,2.904758743,2.611658553,2.489793208
02:00,2.282310441,2.440423708,3.112241511,3.113900583,3.112241511,2.712106959,2.697275976,2.593534592,2.511210147,2.80101736,2.511210147,2.386051825
03:00,2.178569057,2.346561257,3.008500127,3.013452177,3.112241511,2.712106959,2.697275976,2.593534592,2.511210147,2.80101736,2.410761741,2.282310441
04:00,2.074827674,2.346561257,3.008500127,3.013452177,3.008500127,2.712106959,2.593534592,2.489793208,2.410761741,2.697275976,2.410761741,2.282310441
05:00,2.074827674,2.252698807,2.904758743,2.913003771,3.008500127,2.611658553,2.593534592,2.489793208,2.410761741,2.697275976,2.310313335,2.178569057
06:00,2.074827674,2.252698807,2.904758743,2.913003771,3.008500127,2.611658553,2.593534592,2.489793208,2.410761741,2.697275976,2.310313335,2.178569057
07:00,3.762729198,3.848979255,4.62382449,4.700442367,4.834142304,4.387950969,4.404591104,4.297977475,4.178815087,4.511405079,3.971786698,3.8731175
08:00,4.106295506,4.186494567,4.99774101,5.073072311,5.212429462,4.749133329,4.662151509,4.553145886,4.432038322,4.878614206,4.528013666,4.327399206
09:00,2.856590162,2.921289973,3.644294282,3.749039628,3.755241351,3.32465224,3.204963397,3.199699159,3.108005639,3.421426095,3.203980983,3.077693862
10:00,3.167814313,3.202877324,3.955518433,3.949936439,3.962724118,3.525549051,3.412446165,3.303440543,3.208454045,3.628908862,3.505326201,3.388918013
11:00,3.338475192,3.390602224,4.163001201,4.150833251,4.170206886,3.625997457,3.516187548,3.407181926,3.409350856,3.83639163,3.706223013,3.596400781
12:00,3.4435603,3.445010739,4.223417254,4.10056521,4.124244962,3.586095364,3.483790293,3.377455859,3.377111099,3.904878248,3.780134028,3.679617926
13:00,3.527207045,3.502868743,4.286683482,4.152731268,4.080074842,3.547751316,3.454229466,3.350009683,3.244903954,3.870376468,3.747477687,3.65955994
14:00,3.630948429,3.566773111,4.357138115,4.118384641,4.149655347,3.616142612,3.423465662,3.319724278,3.314797394,3.838431196,3.817039424,3.734689813
15:00,3.630948429,3.566773111,4.357138115,4.218833047,4.149655347,3.616142612,3.423465662,3.319724278,3.314797394,3.838431196,3.817039424,3.734689813
16:00,3.527207045,3.566773111,4.253396731,4.118384641,4.149655347,3.616142612,3.423465662,3.319724278,3.314797394,3.838431196,3.716591018,3.630948429
17:00,3.423465662,3.472910661,4.149655347,4.017936236,4.045913964,3.515694206,3.423465662,3.215982894,3.214348988,3.734689813,3.515694206,3.527207045
18:00,3.215982894,3.28518576,3.94217258,3.91748783,3.838431196,3.4152458,3.319724278,3.112241511,3.113900583,3.527207045,3.314797394,3.319724278
19:00,3.112241511,3.09746086,3.838431196,3.716591018,3.734689813,3.314797394,3.215982894,3.008500127,3.013452177,3.423465662,3.214348988,3.215982894
20:00,3.008500127,3.003598409,3.734689813,3.616142612,3.630948429,3.214348988,3.112241511,3.008500127,2.913003771,3.319724278,3.113900583,3.112241511
21:00,2.904758743,2.909735959,3.630948429,3.515694206,3.527207045,3.113900583,3.008500127,2.904758743,2.913003771,3.215982894,3.013452177,3.008500127
22:00,2.80101736,2.815873509,3.527207045,3.4152458,3.423465662,3.013452177,3.008500127,2.80101736,2.812555365,3.112241511,2.913003771,2.80101736
23:00,2.593534592,2.722011059,3.423465662,3.314797394,3.319724278,2.913003771,2.904758743,2.80101736,2.712106959,3.112241511,2.812555365,2.697275976
00:00,2.489793208,2.628148608,3.319724278,3.214348988,3.215982894,2.913003771,2.80101736,2.697275976,2.611658553,3.008500127,2.712106959,2.593534592
